0	0
0.1	0.012276296
0.2	0.047309928
0.3	0.100511025
0.4	0.165192241
0.5	0.233248446
0.6	0.295973166
0.7	0.344930343
0.8	0.372798303
0.9	0.374110883
1	0.345813036
1.1	0.287593768
1.2	0.201954128
1.3	0.094017395
1.4	-0.02891366
1.5	-0.158002036
1.6	-0.283664791
1.7	-0.396429547
1.8	-0.487780555
1.9	-0.550915878
2	-0.581347451
2.1	-0.577282959
2.2	-0.539758331
2.3	-0.472522931
2.4	-0.381674086
2.5	-0.275078274
2.6	-0.16164404
2.7	-0.050508546
2.8	0.049781509
2.9	0.132030346
3	0.191003902
3.1	0.223856374
3.2	0.230324669
3.3	0.212677246
3.4	0.175431147
3.5	0.124853258
3.6	0.068309038
3.7	0.01351465
3.8	-0.032232303
3.9	-0.062773689
4	-0.073695672
4.1	-0.062754224
4.2	-0.030084688
4.3	0.02180388
4.4	0.088280942
4.5	0.163043031
4.6	0.238722446
4.7	0.307598132
4.8	0.362338511
4.9	0.396709707
5	0.406182062
5.1	0.388371803
5.2	0.343277862
5.3	0.27331436
5.4	0.183100863
5.5	0.079056629
5.6	-0.031171372
5.7	-0.139390687
5.8	-0.237592153
5.9	-0.318656868
6	-0.376982758
6.1	-0.408957457
6.2	-0.413252847
6.3	-0.390902154
6.4	-0.345168931
6.5	-0.28120516
6.6	-0.205544435
6.7	-0.125475717
6.8	-0.048356617
6.9	0.019066164
7	0.071275697
7.1	0.104467418
7.2	0.116871151
7.3	0.108869234
7.4	0.082917703
7.5	0.043263601
7.6	-0.004503538
7.7	-0.054022335
7.8	-0.098799277
7.9	-0.132853047
8	-0.151311678
8.1	-0.150889034
8.2	-0.13021457
8.3	-0.089969788
8.4	-0.032839921
8.5	0.036734283
8.6	0.112971371
8.7	0.189287559
8.8	0.258912119
8.9	0.315518767
9	0.353815589
9.1	0.370041796
9.2	0.362314365
9.3	0.330799313
9.4	0.277706434
9.5	0.207082189
9.6	0.124440025
9.7	0.036259745
9.8	-0.050599047
9.9	-0.129512133
